@relation allengines-question-results

@attribute indrirank numeric
@attribute indriscore numeric
@attribute lucenerank numeric
@attribute lucenescore numeric
@attribute googlerank numeric
@attribute correct {yes,no}

@data
1,-7.0612988634,4,0.9311679602,5,no
1,-7.0612988634,4,0.9311679602,9,no
1,-8.1195779705,1,0.9259858727,3,no
1,-8.1195779705,1,0.9259858727,9,no
4,-4.7919584342,10,1.6671118736,4,no
6,-7.8094627093,1,1.0801420212,2,no
6,-7.8094627093,1,1.0801420212,6,no
6,-7.8094627093,1,1.0801420212,9,no
1,-7.3183034827,1,1.1014658213,4,no
19,-8.2565970538,14,0.3593831956,1,no
1,-7.0930499492,8,0.3674401939,5,no
1,-6.5305141898,9,0.8398659825,4,no
2,-6.5452429779,4,0.977457881,5,no
5,-6.746392387,8,0.8721576929,2,no
5,-6.746392387,8,0.8721576929,3,no
5,-6.746392387,8,0.8721576929,4,no
5,-6.746392387,8,0.8721576929,7,no
10,-6.9851853622,7,0.8928363919,1,no
10,-6.9851853622,7,0.8928363919,6,no
2,-4.3200906067,5,1.5628273487,1,no
2,-4.3200906067,5,1.5628273487,2,no
2,-4.3200906067,5,1.5628273487,3,no
2,-4.3200906067,5,1.5628273487,4,no
2,-4.3200906067,5,1.5628273487,5,no
2,-4.3200906067,5,1.5628273487,6,no
2,-4.3200906067,5,1.5628273487,7,no
2,-4.3200906067,5,1.5628273487,8,no
2,-4.3200906067,5,1.5628273487,9,no
2,-4.3200906067,5,1.5628273487,10,yes
18,-8.7692174418,16,0.3534570038,1,no
18,-8.7692174418,16,0.3534570038,2,no
18,-8.7692174418,16,0.3534570038,4,no
18,-8.7692174418,16,0.3534570038,6,no
18,-8.7692174418,16,0.3534570038,7,no
18,-8.7692174418,16,0.3534570038,10,no
6,-8.8788493973,2,0.3429052234,1,no
1,-6.5398917495,1,1.7914249897,2,no
1,-6.5398917495,1,1.7914249897,5,no
1,-6.5398917495,1,1.7914249897,10,no
1,-8.2180192583,1,0.452190727,1,no
1,-8.2180192583,1,0.452190727,5,no
1,-8.2180192583,1,0.452190727,6,no
3,-6.8992113144,9,0.6351824999,5,yes
5,-6.9211143501,4,0.697037518,7,no
5,-6.9211143501,4,0.697037518,10,no
10,-7.0889959455,11,0.6065579057,3,no
1,-7.8415008262,6,0.6858078241,2,no
1,-7.8415008262,6,0.6858078241,4,no
1,-7.8415008262,6,0.6858078241,9,no
5,-8.3858711389,15,0.5456597805,6,yes
1,-7.0436903817,1,1.0535681248,1,no
2,-7.5568357912,2,0.8092468381,3,no
2,-7.5568357912,2,0.8092468381,4,no
2,-7.5568357912,2,0.8092468381,6,no
2,-7.5568357912,2,0.8092468381,7,no
19,-8.9147492477,8,0.5063205361,1,no
19,-8.9147492477,8,0.5063205361,10,no
