@relation google-question-results

@attribute googlerank numeric
@attribute correct {yes,no}

@data
1,yes
2,no
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,yes
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,yes
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,yes
1,no
2,yes
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,yes
5,no
6,yes
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,yes
1,no
2,no
3,no
4,yes
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,yes
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,yes
5,no
6,yes
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,yes
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,yes
7,no
8,no
9,no
10,no
1,no
2,yes
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,yes
9,no
10,no
1,yes
2,no
3,no
4,yes
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,yes
5,yes
6,no
7,no
8,yes
9,no
10,no
1,yes
2,no
3,yes
4,yes
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,yes
6,no
7,no
8,no
9,no
10,no
1,yes
2,no
3,no
4,no
5,no
6,yes
7,no
8,yes
9,yes
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,yes
8,no
9,no
10,no
1,no
2,no
3,no
4,yes
5,no
6,no
7,yes
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,yes
9,no
10,no
1,yes
2,no
3,no
4,no
5,no
6,yes
7,no
8,no
9,no
10,no
1,no
2,yes
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,yes
1,no
2,yes
3,yes
4,no
5,yes
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,yes
9,no
10,no
1,yes
2,no
3,yes
4,no
5,no
6,no
7,no
8,yes
9,no
10,no
1,yes
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,yes
6,no
7,no
8,yes
9,no
10,no
1,no
2,no
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,yes
10,no
1,no
2,yes
3,no
4,yes
5,no
6,yes
7,no
8,no
9,no
10,no
1,no
2,yes
3,no
4,no
5,no
6,no
7,no
8,no
9,yes
10,no
1,yes
2,no
3,no
4,no
5,no
6,no
7,no
8,yes
9,yes
10,yes
1,no
2,no
3,no
4,no
5,no
6,yes
7,no
8,no
9,no
10,no
1,yes
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,no
2,no
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,no
1,yes
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
