@relation indri-question-results

@attribute indrirank numeric
@attribute indriscore numeric
@attribute correct {yes,no}

@data
1,-7.6495523153,no
2,-7.6841076089,no
3,-7.7858905858,no
4,-7.786261377,yes
5,-7.7966938996,no
6,-7.8009519056,no
7,-7.8171180799,no
8,-7.8176770271,no
9,-7.8350080017,no
10,-7.8367538185,no
11,-7.8389137776,no
12,-7.8624798705,no
13,-7.8808172405,no
14,-7.8819825962,no
15,-7.8920394889,no
16,-7.8926342615,no
17,-7.8984655112,no
18,-7.9047734351,no
19,-7.906372482,no
20,-7.9172177521,no
1,-7.3720415758,no
2,-7.4933563024,no
3,-7.5244332765,no
4,-7.5290139141,no
5,-7.5749784836,no
6,-7.5796772541,no
7,-7.5825009466,no
8,-7.601636169,no
9,-7.6110060074,no
10,-7.6179874455,no
11,-7.6217141375,no
12,-7.62547753,no
13,-7.6320233972,no
14,-7.6344984452,no
15,-7.6371824708,no
16,-7.637482473,no
17,-7.6404868401,yes
18,-7.6522498176,no
19,-7.6540808963,no
20,-7.6544362658,no
1,-4.5618497127,no
2,-4.5748418488,no
3,-4.5954013053,no
4,-4.6043527764,yes
5,-4.7627316758,no
6,-4.7751508511,no
7,-4.7973121997,no
8,-4.8093957827,no
9,-4.8137347211,no
10,-4.848475337,no
11,-4.8721446262,no
12,-4.8742770489,no
13,-4.8922825924,no
14,-4.8987882752,yes
15,-4.9086360241,no
16,-4.9294013831,no
17,-4.9307267418,no
18,-4.9317439134,no
19,-4.9470321588,yes
20,-4.9585132271,no
1,-3.5984525623,no
2,-4.1150874922,no
3,-4.3336446449,no
4,-4.3550777159,no
5,-4.512039626,no
6,-4.5281677471,no
7,-4.5285874839,no
8,-4.5716177091,no
9,-4.5780504697,yes
10,-4.5820180162,yes
11,-4.589717078,yes
12,-4.6016301903,no
13,-4.6323839209,no
14,-4.6483119068,yes
15,-4.6557975363,no
16,-4.6796861534,no
17,-4.6837899117,no
18,-4.6972984517,no
19,-4.697916419,no
20,-4.722065019,no
1,-4.7127862856,no
2,-4.7255557749,no
3,-4.7295669763,no
4,-4.7919584342,no
5,-4.8061379558,no
6,-4.8283987596,no
7,-4.8391021241,no
8,-4.8476879103,no
9,-4.84786466,no
10,-4.8492955228,no
11,-4.8874032774,no
12,-4.9013484841,no
13,-4.9047362255,no
14,-4.9258858921,no
15,-4.9532675026,yes
16,-4.9710029041,no
17,-4.9714476311,no
18,-4.9734673772,no
19,-4.9964813628,no
20,-5.0062716796,no
1,-8.5278325577,no
2,-8.5782400489,no
3,-8.6272106629,yes
4,-8.6385822114,no
5,-8.6894157148,no
6,-8.7463923598,no
7,-8.7600505527,no
8,-8.7645035733,no
9,-8.769073914,no
10,-8.7691255131,no
11,-8.7697159625,no
12,-8.7722851539,no
13,-8.8024574725,no
14,-8.8077186879,no
15,-8.8099654554,no
16,-8.8161336899,no
17,-8.8164596727,no
18,-8.8193645292,no
19,-8.8194883883,no
20,-8.820695896,no
1,-6.5305141898,no
2,-6.5452429779,no
3,-6.5463430991,no
4,-6.6241960663,no
5,-6.746392387,no
6,-6.8149767507,yes
7,-6.8345803335,no
8,-6.8653044584,yes
9,-6.9759569354,no
10,-6.9851853622,no
11,-7.0932440858,no
12,-7.1030474187,no
13,-7.1338987054,no
14,-7.1670513453,no
15,-7.2098957846,no
16,-7.2294980375,no
17,-7.2673553263,yes
18,-7.2800987722,no
19,-7.2808176055,no
20,-7.2844443648,no
1,-4.1964950054,no
2,-4.3200906067,no
3,-4.6857159502,yes
4,-4.7620036323,no
5,-4.8005753579,no
6,-4.8410769062,no
7,-4.9213739019,no
8,-4.9435163343,no
9,-4.9457261501,no
10,-4.9498391312,no
11,-5.0189342978,no
12,-5.030582915,no
13,-5.0508668749,no
14,-5.0669298249,no
15,-5.0707916791,yes
16,-5.0861153568,no
17,-5.0944750782,no
18,-5.144958346,no
19,-5.1516672791,no
20,-5.1603027652,no
1,-4.2126520929,no
2,-4.2729592844,no
3,-4.2839621821,no
4,-4.368713149,no
5,-4.3751777039,no
6,-4.4831795437,yes
7,-4.547436585,no
8,-4.6062307373,no
9,-4.6394081655,no
10,-4.6758230782,no
11,-4.6865647675,no
12,-4.6905524338,no
13,-4.7368013138,no
14,-4.74587639,no
15,-4.787462836,no
16,-4.8094074872,no
17,-4.8124050904,no
18,-4.8213581328,no
19,-4.8447721564,no
20,-4.8700521326,no
1,-6.7339670752,no
2,-6.8792046382,no
3,-6.8992113144,yes
4,-6.9064476905,no
5,-6.9211143501,no
6,-7.0042820164,no
7,-7.0420576741,no
8,-7.0474612273,no
9,-7.0609676841,no
10,-7.0889959455,no
11,-7.1010269373,no
12,-7.1186303976,yes
13,-7.1445428278,no
14,-7.1605235189,no
15,-7.1761142801,no
16,-7.1790488964,no
17,-7.1897648905,no
18,-7.1904872223,no
19,-7.190823343,no
20,-7.1984694078,no
1,-6.834522032,no
2,-7.4189450423,no
3,-7.5979914387,no
4,-7.7196694644,no
5,-7.7724958836,no
6,-7.8232603552,no
7,-7.9318378592,no
8,-7.9810219086,no
9,-8.0171470983,no
10,-8.0618493448,no
11,-8.2142699436,no
12,-8.29946951,no
13,-8.3037509072,no
14,-8.3731525299,no
15,-8.3816940986,no
16,-8.3929194464,no
17,-8.4017104769,yes
18,-8.4106260126,no
19,-8.4361957677,no
20,-8.4417362349,no
1,-7.8415008262,no
2,-8.1318765191,no
3,-8.3082571538,no
4,-8.361761078,no
5,-8.3858711389,yes
6,-8.570570946,no
7,-8.6120323141,no
8,-8.6488585082,no
9,-8.7025538116,no
10,-8.7254554231,no
11,-8.9023158857,no
12,-8.910508841,no
13,-8.9499300672,no
14,-8.9717607047,no
15,-8.9858372932,no
16,-8.9930562925,no
17,-9.0017232329,no
18,-9.0103260565,no
19,-9.0277420536,no
20,-9.0628951308,no
1,-8.1102077786,no
2,-8.317202511,no
3,-8.3545443607,no
4,-8.3846376498,no
5,-8.3931914795,no
6,-8.3991702962,no
7,-8.4226398275,no
8,-8.4439678735,no
9,-8.4442898791,no
10,-8.4718075344,no
11,-8.4935625997,yes
12,-8.4978238646,no
13,-8.5082675134,no
14,-8.5105857386,no
15,-8.5107301996,no
16,-8.5115288923,no
17,-8.551112544,no
18,-8.5772792597,no
19,-8.5793551485,no
20,-8.5907033553,no
1,-7.8520066319,no
2,-8.4001613199,no
3,-8.4329066117,no
4,-8.4749966394,no
5,-8.4859546793,no
6,-8.5423337892,no
7,-8.5587288357,no
8,-8.5904577324,no
9,-8.5945188003,yes
10,-8.6052059656,no
11,-8.6137386531,no
12,-8.6178895072,no
13,-8.6299343254,no
14,-8.6308749029,no
15,-8.6465209908,no
16,-8.6982099835,no
17,-8.7097030851,no
18,-8.7100122255,no
19,-8.7218477205,no
20,-8.7225925995,no
1,-7.1732600785,no
2,-7.269991603,no
3,-7.5100808277,no
4,-7.5964065689,no
5,-7.6213141274,yes
6,-7.6533266703,no
7,-7.8659154834,no
8,-7.934685686,no
9,-7.9602986547,no
10,-7.9667599472,no
11,-7.9726157456,no
12,-7.9988077558,no
13,-8.0051533067,no
14,-8.048781723,no
15,-8.0516273322,no
16,-8.0687595592,no
17,-8.0690025988,no
18,-8.0757587167,no
19,-8.0910858077,no
20,-8.0917153614,no
1,-9.1232418082,no
2,-9.1703067797,no
3,-9.2139125752,yes
4,-9.224586256,yes
5,-9.2767978603,no
6,-9.3273854557,no
7,-9.3330644071,no
8,-9.3528063892,no
9,-9.35840169,no
10,-9.3737768334,no
11,-9.4017027044,yes
12,-9.4091334807,no
13,-9.4128762427,no
14,-9.4273339795,no
15,-9.434840849,no
16,-9.4561235788,no
17,-9.4794120488,no
18,-9.4837808927,no
19,-9.4877605876,no
20,-9.4935701285,no
1,-7.7111346453,no
2,-7.7248056191,no
3,-7.7652810559,no
4,-7.783257287,no
5,-7.8182442188,no
6,-7.821046268,no
7,-7.8451284856,no
8,-7.8594827223,no
9,-7.8759522954,no
10,-7.8863515612,no
11,-7.8893628822,no
12,-7.9092649755,no
13,-7.9120982916,yes
14,-7.9377900389,no
15,-7.9454695969,no
16,-7.9518734384,no
17,-7.9567583168,no
18,-7.9642686995,no
19,-7.9644288826,no
20,-8.0020242697,no
1,-7.3425329786,no
2,-7.4048444325,no
3,-7.5146467265,no
4,-7.5265222753,no
5,-7.5288200832,yes
6,-7.5500479761,no
7,-7.5587778653,no
8,-7.5837352396,no
9,-7.5910965881,no
10,-7.6244158427,no
11,-7.6249337702,no
12,-7.6376366824,no
13,-7.6388742225,no
14,-7.6634837428,no
15,-7.6686831454,no
16,-7.688055979,no
17,-7.7104534564,no
18,-7.7110661076,no
19,-7.7112796832,no
20,-7.7175804863,no
1,-6.8189247788,no
2,-7.3283258756,no
3,-7.363237393,no
4,-7.4827200703,yes
5,-7.653319498,yes
6,-7.6782018521,no
7,-7.6876986719,no
8,-7.7064574191,yes
9,-7.7100093149,no
10,-7.719108401,yes
11,-7.7209962515,yes
12,-7.7487106459,no
13,-7.7668992923,no
14,-7.790682488,yes
15,-7.7925712918,no
16,-7.7941617034,no
17,-7.7947289741,no
18,-7.8230465422,no
19,-7.8506556039,no
20,-7.8519551355,no
1,-6.635877443,yes
2,-7.4025464612,yes
3,-7.8047962446,no
4,-7.8227696032,no
5,-7.8327564643,yes
6,-7.8404683197,no
7,-7.8689752175,no
8,-7.9047456666,no
9,-7.9325593492,no
10,-7.9335741692,no
11,-7.933649366,no
12,-7.9444812395,no
13,-7.9477100335,no
14,-7.9570894721,no
15,-7.9577832805,no
16,-7.9578187089,no
17,-7.9721700136,no
18,-7.9939941805,no
19,-7.994199814,no
20,-8.0094059112,no
1,-8.3934985393,yes
2,-8.3936003566,no
3,-8.4551425677,no
4,-8.4900459466,no
5,-8.5127501144,no
6,-8.5193067833,no
7,-8.5585509796,no
8,-8.6713017089,no
9,-8.7043285859,no
10,-8.8179018698,no
11,-8.8761195989,no
12,-8.894603204,no
13,-8.9152056459,no
14,-8.9281327086,no
15,-8.9390530962,no
16,-8.9567637651,no
17,-8.9979792745,no
18,-8.9993557864,no
19,-9.0232780132,no
20,-9.0437520612,no
1,-7.179862929,no
2,-7.396319208,no
3,-7.4576747095,no
4,-7.695665541,no
5,-7.7081597276,no
6,-7.7375562313,no
7,-7.7467056821,no
8,-7.7675038809,no
9,-7.7829262057,no
10,-7.7860700504,yes
11,-7.7864073653,no
12,-7.8334879342,yes
13,-7.8372755521,no
14,-7.848694719,no
15,-7.8492768435,no
16,-7.8556780779,no
17,-7.8577719871,no
18,-7.8690284574,no
