@relation lucene-question-results

@attribute lucenerank numeric
@attribute lucenescore numeric
@attribute correct {yes,no}

@data
1,1.6931089163,no
2,1.676092267,no
3,1.582717061,no
4,1.5706530809,no
5,1.5578895807,no
6,1.5104883909,no
7,1.4989104271,no
8,1.4973306656,no
9,1.4408868551,no
10,1.4408868551,no
11,1.3910707235,yes
12,1.3910707235,no
13,1.3783082962,no
14,1.2236696482,no
15,1.2209455967,no
16,1.2098929882,no
17,1.2060513496,no
18,1.1977659464,no
19,1.1972087622,no
20,1.1916437149,yes
1,3.3300740719,no
2,2.1251413822,no
3,2.0603783131,no
4,2.0109071732,yes
5,1.9934908152,no
6,1.9916926622,no
7,1.9722812176,no
8,1.8651529551,no
9,1.8651529551,no
10,1.6671118736,no
11,1.6650370359,no
12,1.660086751,no
13,1.4971439838,no
14,1.471698761,no
15,1.471698761,no
16,1.471698761,no
17,1.471698761,no
18,1.471698761,no
19,1.4569073915,no
20,1.4569073915,yes
1,0.4190131724,no
2,0.4018293321,no
3,0.3763597012,no
4,0.3219103515,no
5,0.3204182982,no
6,0.3100568056,no
7,0.3077605963,no
8,0.3034096062,no
9,0.3034096062,no
10,0.2945777178,no
11,0.2882011235,no
12,0.2811922133,no
13,0.2782176733,no
14,0.2757078409,no
15,0.2757078409,no
16,0.2741807103,no
17,0.2709688246,no
18,0.2708952725,no
19,0.267014116,yes
20,0.2621938586,no
1,1.3075871468,no
2,1.0477567911,no
3,0.9975488186,no
4,0.977457881,no
5,0.9052090645,no
6,0.9013020396,no
7,0.8928363919,no
8,0.8721576929,no
9,0.8398659825,no
10,0.7974332571,no
11,0.7806795835,no
12,0.7741908431,no
13,0.7538944483,no
14,0.7501493692,no
15,0.736474812,no
16,0.7334644794,no
17,0.7286387682,yes
18,0.7142739892,no
19,0.6957055926,no
20,0.6957055926,no
1,1.8939958811,no
2,1.7440632582,no
3,1.7211647034,no
4,1.696654439,yes
5,1.5628273487,no
6,1.5085985661,no
7,1.5027997494,no
8,1.4944269657,no
9,1.458209157,yes
10,1.4307385683,no
11,1.3900649548,no
12,1.2559938431,no
13,1.2132232189,no
14,1.2087082863,no
15,1.2087082863,no
16,1.1975506544,no
17,1.1799926758,no
18,1.1799926758,no
19,1.1510646343,yes
